#{"t_start": 1621568387.765816, "env_id": null}
r,l,t
1.214286,10,3.808259
-9.809524,9,3.900581
1.214286,10,3.978341
1.261905,12,4.064763
-9.761905,11,4.139811
-0.761905,11,4.220017
-9.666667,15,4.3234
-0.833333,8,4.382426
-9.666667,15,4.488341
-0.857143,7,4.541471
-0.833333,8,4.605732
-0.809524,9,4.682903
-0.857143,7,5.186827
1.190476,9,5.251562
-0.809524,9,5.325214
-9.738095,12,5.419338
-9.833333,8,5.484261
1.238095,11,5.560585
-9.714286,13,5.652816
-9.785714,10,5.724812
1.190476,9,5.791991
1.166667,8,5.848597
-9.809524,9,5.914986
1.309524,14,6.020357
-0.857143,7,6.085825
1.190476,9,6.262947
-0.666667,15,6.382462
-0.833333,8,6.4537
1.261905,12,6.552512
1.285714,13,6.66134
1.261905,12,6.751557
-0.833333,8,6.825746
1.119048,6,6.871517
-9.642857,16,6.980943
1.214286,10,7.047162
-0.761905,11,7.130697
1.285714,13,7.223179
-9.690476,14,7.430005
-0.857143,7,7.488005
-0.880952,6,7.537277
-0.880952,6,7.589762
1.071429,4,7.622203
-9.642857,16,7.728024
-0.809524,9,7.795301
-0.785714,10,7.869598
-0.738095,12,7.960003
-9.714286,13,8.049447
-0.857143,7,8.109783
-9.785714,10,8.191518
-9.666667,15,8.396092
-0.928571,4,8.431481
-9.714286,13,8.522957
1.095238,5,8.560968
-9.809524,9,8.631215
1.333333,15,8.732842
-0.785714,10,8.805217
-0.738095,12,8.893793
-0.880952,6,8.939124
-0.619048,17,9.058262
1.309524,14,9.153402
-0.833333,8,9.22168
1.071429,4,9.252185
-9.785714,10,9.31941
1.261905,12,9.505758
1.214286,10,9.579912
-0.785714,10,9.652079
-0.833333,8,9.713866
-0.833333,8,9.772502
1.238095,11,9.849419
-0.809524,9,9.916657
1.214286,10,9.98705
-0.809524,9,10.051678
-0.785714,10,10.125409
-0.880952,6,10.17264
1.214286,10,10.24483
-9.738095,12,10.325922
-0.714286,13,10.528422
